# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
1             	mag(U)        	0.000000e+00	(1.058333e-03 0.000000e+00 -5.000000e-08)	1.345499e-08	(1.058333e-03 3.080625e-02 -5.000000e-08)
1             	T             	3.014500e+02	(8.890000e-02 9.937500e-04 -5.000000e-08)	3.111500e+02	(0.000000e+00 9.937500e-04 -5.000000e-08)
2             	mag(U)        	0.000000e+00	(1.058333e-03 0.000000e+00 -5.000000e-08)	3.443886e-08	(1.058333e-03 3.080625e-02 -5.000000e-08)
2             	T             	3.014500e+02	(8.890000e-02 9.937500e-04 -5.000000e-08)	3.111500e+02	(0.000000e+00 9.937500e-04 -5.000000e-08)
3             	mag(U)        	0.000000e+00	(1.058333e-03 0.000000e+00 -5.000000e-08)	1.051708e-07	(1.058333e-03 3.080625e-02 -5.000000e-08)
3             	T             	3.014500e+02	(8.890000e-02 9.937500e-04 -5.000000e-08)	3.111500e+02	(0.000000e+00 9.937500e-04 -5.000000e-08)
4             	mag(U)        	0.000000e+00	(1.058333e-03 0.000000e+00 -5.000000e-08)	1.370697e-07	(1.058333e-03 3.279375e-02 -5.000000e-08)
4             	T             	3.014500e+02	(8.890000e-02 9.937500e-04 -5.000000e-08)	3.111500e+02	(0.000000e+00 9.937500e-04 -5.000000e-08)
5             	mag(U)        	0.000000e+00	(1.058333e-03 0.000000e+00 -5.000000e-08)	1.496468e-07	(1.058333e-03 3.279375e-02 -5.000000e-08)
5             	T             	3.014500e+02	(8.890000e-02 9.937500e-04 -5.000000e-08)	3.111500e+02	(0.000000e+00 9.937500e-04 -5.000000e-08)
6             	mag(U)        	0.000000e+00	(1.058333e-03 0.000000e+00 -5.000000e-08)	1.625816e-07	(1.058333e-03 3.279375e-02 -5.000000e-08)
6             	T             	3.014500e+02	(8.890000e-02 9.937500e-04 -5.000000e-08)	3.111500e+02	(0.000000e+00 9.937500e-04 -5.000000e-08)
7             	mag(U)        	0.000000e+00	(1.058333e-03 0.000000e+00 -5.000000e-08)	3.951857e-07	(1.058333e-03 3.279375e-02 -5.000000e-08)
